#Creator: pendulumdriveEventBuffer
#Creation time: Thu Apr 11 16:06:28 2019
#Time	Pos
#[s]	[au]
0.049	446
0.100	445
0.150	438
0.201	442
0.251	439
0.301	439
0.351	438
0.401	429
0.451	436
0.502	432
0.552	428
0.602	433
0.652	431
0.702	434
0.753	436
0.803	430
0.853	440
0.903	443
0.953	441
1.004	450
1.055	452
1.105	457
1.155	458
1.205	450
1.255	461
1.305	462
1.356	458
1.406	458
1.456	453
1.506	451
1.556	446
1.607	432
1.657	436
1.707	431
1.757	424
1.807	424
1.857	419
1.909	419
1.959	419
2.009	414
2.059	422
2.109	427
2.160	432
2.210	439
2.260	443
2.310	453
2.360	462
2.410	458
2.461	472
2.511	474
2.561	472
2.611	475
2.661	467
2.711	469
2.762	463
2.813	449
2.863	449
2.913	439
2.963	429
3.014	424
3.064	418
3.114	412
3.164	408
3.214	401
3.264	407
3.315	410
3.365	412
3.415	422
3.465	429
3.515	440
3.565	448
3.616	452
3.667	469
3.717	475
3.767	480
3.817	487
3.868	484
3.918	487
3.968	484
4.018	468
4.068	468
4.118	457
4.169	444
4.219	434
4.269	425
4.319	416
4.369	406
4.419	394
4.471	396
4.521	395
4.571	392
4.621	403
4.671	410
4.722	421
4.772	432
4.822	435
4.872	456
4.922	468
4.972	474
5.023	488
5.073	490
5.123	497
5.173	495
5.223	483
5.273	487
5.324	478
5.375	463
5.425	454
5.475	439
5.525	428
5.576	414
5.626	399
5.676	397
5.726	392
5.776	386
5.826	389
5.877	395
5.927	401
5.977	408
6.027	416
6.077	436
6.128	449
6.178	460
6.228	476
6.279	484
6.329	495
6.379	500
6.430	490
6.480	500
6.530	494
6.580	486
6.630	477
6.680	457
6.731	450
6.781	435
6.831	416
6.881	409
6.931	397
6.982	388
7.032	386
7.082	383
7.132	387
7.183	393
7.233	397
7.284	413
7.334	426
7.384	439
7.434	456
7.484	463
7.534	482
7.585	493
7.635	493
7.685	503
7.735	503
7.785	499
7.836	495
7.886	473
7.936	472
7.986	457
8.036	437
8.087	427
8.138	413
8.188	397
8.238	393
8.288	380
8.338	383
8.389	385
8.439	384
8.489	397
8.539	407
8.589	418
8.639	434
8.690	440
8.740	464
8.790	477
8.840	480
8.890	498
8.940	502
8.992	504
9.042	502
9.092	486
9.142	489
9.192	477
9.243	456
9.293	448
9.343	435
9.393	418
9.443	408
9.493	390
9.544	390
9.594	382
9.644	382
9.694	388
9.744	393
9.794	403
9.845	414
9.896	420
9.946	443
9.996	457
10.046	466
10.097	483
10.147	490
10.197	499
10.247	502
10.297	488
10.347	498
10.398	490
10.448	475
10.498	469
10.548	453
10.598	441
10.648	427
10.699	408
10.749	403
10.800	396
10.850	386
10.900	389
10.951	391
11.001	396
11.051	402
11.101	404
11.151	425
11.201	437
11.252	446
11.302	462
11.352	471
11.402	485
11.452	491
11.502	484
11.553	498
11.603	493
11.653	483
11.704	481
11.754	468
11.805	458
11.855	446
11.905	426
11.955	424
12.005	413
12.055	400
12.106	400
12.156	397
12.206	397
12.256	401
12.306	400
12.357	414
12.407	424
12.457	431
12.507	446
12.558	455
12.608	467
12.659	475
12.709	473
12.759	486
12.809	487
12.859	482
12.909	482
12.960	474
13.010	467
13.060	458
13.110	442
13.160	439
13.211	429
13.261	419
13.311	414
13.361	413
13.411	407
13.462	407
13.513	402
13.563	412
13.613	418
13.663	424
13.713	436
13.763	439
13.814	453
13.864	460
13.914	457
13.964	473
14.014	474
14.065	471
14.115	475
14.165	465
14.215	467
14.265	462
14.315	446
14.367	448
14.417	439
14.467	431
14.517	428
14.567	415
14.617	420
14.668	418
14.718	412
14.768	419
14.818	422
14.868	426
14.919	432
14.969	431
15.019	444
15.069	449
15.119	448
15.169	459
15.220	461
15.271	464
15.321	465
15.371	451
15.421	459
15.472	458
15.522	447
15.572	449
15.622	443
15.672	440
15.722	436
15.773	424
15.823	432
15.873	431
15.923	424
15.973	429
16.023	432
16.074	434
16.124	438
16.175	432
16.225	445
16.275	448
16.326	444
16.376	453
16.426	453
16.476	454
16.526	454
16.576	445
16.627	452
16.677	449
16.727	440
16.777	444
16.827	440
16.877	438
16.928	437
16.978	430
17.028	434
17.079	436
17.129	432
17.180	439
17.230	441
17.280	444
17.330	446
17.380	438
17.430	453
17.481	454
17.531	448
17.581	454
17.631	450
17.681	450
17.731	450
17.782	437
17.832	443
17.882	440
17.932	434
17.983	435
18.034	431
18.084	431
18.134	431
18.184	424
18.234	433
18.284	435
18.335	435
18.385	443
18.435	445
18.485	451
18.535	455
18.585	448
18.636	461
18.686	462
18.736	458
18.786	463
18.836	457
18.888	457
18.938	454
18.988	440
19.038	443
19.088	435
19.138	428
19.189	426
19.239	422
19.289	421
19.339	421
19.389	412
19.440	424
19.490	427
19.540	428
19.590	436
19.640	440
19.690	451
19.741	456
19.792	454
19.842	468
19.892	472
19.942	470
19.992	473
20.043	463
20.093	468
20.143	462
20.193	447
20.243	449
20.294	440
20.344	430
20.394	426
20.444	419
20.494	414
20.544	412
20.595	404
20.645	411
20.696	414
20.746	416
20.796	424
20.846	430
20.897	441
20.947	452
20.997	453
21.047	468
21.097	474
21.148	479
21.198	482
21.248	471
21.298	481
21.348	477
21.398	465
21.449	464
21.499	454
21.549	441
21.600	433
21.650	415
21.701	415
21.751	408
21.801	396
21.851	401
21.901	400
21.951	397
22.002	408
22.052	408
22.102	425
22.152	436
22.202	440
22.252	458
22.303	470
22.353	478
22.403	486
22.453	480
22.504	493
22.555	492
22.605	481
22.655	481
22.705	472
22.755	461
22.805	450
22.856	430
22.906	425
22.956	415
23.006	400
23.056	396
23.106	394
23.157	390
23.207	395
23.257	390
23.307	405
23.357	415
23.409	424
23.459	439
23.509	451
23.559	467
23.609	479
23.659	477
23.710	494
23.760	498
23.810	495
23.860	497
23.910	489
23.960	483
24.011	472
24.061	450
24.111	445
24.161	433
24.211	413
24.263	406
24.313	397
24.363	389
24.413	387
24.463	382
24.513	389
24.564	397
24.614	401
24.664	419
24.714	430
24.764	444
24.814	461
24.865	465
24.915	487
24.965	495
25.015	497
25.065	505
25.116	501
25.167	499
25.217	492
25.267	472
25.317	468
25.367	453
25.418	433
25.468	422
25.518	410
25.568	399
25.618	390
25.669	378
25.719	382
25.769	383
25.819	386
25.869	397
25.919	409
25.970	423
26.020	438
26.071	444
26.121	469
26.171	482
26.221	490
26.272	502
26.322	502
26.372	507
26.422	505
26.472	489
26.523	489
26.573	474
26.623	459
26.673	446
26.723	433
26.773	415
26.824	404
26.874	387
26.924	383
26.975	382
27.025	377
27.075	386
27.126	398
27.176	401
27.226	416
27.276	422
27.326	445
27.377	463
27.427	473
27.477	487
27.527	486
27.577	505
27.627	507
27.678	498
27.728	501
27.778	492
27.828	480
27.879	469
27.929	447
27.980	439
28.030	424
28.080	406
28.130	399
28.180	391
28.231	384
28.281	384
28.331	383
28.381	389
28.431	398
28.481	402
28.532	424
28.582	438
28.632	448
28.682	466
28.732	467
28.784	490
28.834	497
28.884	490
28.934	501
28.984	497
29.034	491
29.085	484
29.135	462
29.185	460
29.235	446
29.285	427
29.335	420
29.386	408
29.436	398
29.486	394
29.536	384
29.586	390
29.637	394
29.688	395
29.738	410
29.788	420
29.838	431
29.888	445
29.939	449
29.989	470
30.039	479
30.089	481
30.139	493
30.189	493
30.240	493
30.290	490
30.340	471
30.390	472
30.440	463
30.491	448
30.541	438
30.592	433
30.642	418
30.692	410
30.742	398
30.793	401
30.843	400
30.893	397
30.943	405
30.993	413
31.043	420
31.094	431
31.144	432
31.194	451
31.244	458
31.294	464
31.345	474
31.395	477
31.445	481
31.496	482
31.546	470
31.596	474
31.647	468
31.697	456
31.747	453
31.797	443
31.847	435
31.897	428
31.948	414
31.998	417
32.048	415
32.098	409
32.148	414
32.199	415
32.249	420
32.299	426
32.349	425
32.400	439
32.450	446
32.501	448
32.551	459
32.601	461
32.651	466
32.701	466
32.752	460
32.802	465
32.852	464
32.902	458
32.952	456
33.002	447
33.053	446
33.103	441
33.153	432
33.203	433
33.253	431
33.304	425
33.355	428
33.405	430
33.455	429
33.505	432
33.555	427
33.606	437
33.656	440
33.706	440
33.756	446
33.806	445
33.856	450
33.907	452
33.957	444
34.007	452
34.057	450
34.107	448
34.157	450
34.209	445
34.259	447
34.309	447
34.359	440
34.409	443
34.460	441
34.510	442
34.560	442
34.610	438
34.660	445
34.710	445
34.761	439
34.811	445
34.861	443
34.911	443
34.961	442
35.011	431
35.062	442
35.113	441
35.163	433
35.213	438
35.263	438
35.314	432
35.364	436
35.414	429
35.464	438
35.514	440
35.564	436
35.615	445
35.665	447
35.715	449
35.765	453
35.815	446
35.865	458
35.916	458
35.966	452
36.017	458
36.067	455
36.117	454
36.168	450
36.218	438
36.268	444
36.318	439
36.368	428
36.418	430
36.469	427
36.519	424
36.569	424
36.619	416
36.669	425
36.720	426
36.770	427
36.820	434
36.870	441
36.921	447
36.971	454
37.022	450
37.072	464
37.122	469
37.172	467
37.222	472
37.272	470
37.323	469
37.373	466
37.423	451
37.473	454
37.523	447
37.574	433
37.624	432
37.674	425
37.724	419
37.775	415
37.825	404
37.876	410
37.926	410
37.976	410
38.026	418
38.076	426
38.126	435
38.177	443
38.227	444
38.277	461
38.327	467
38.377	472
38.428	480
38.478	481
38.528	484
38.578	482
38.628	468
38.679	473
38.730	463
38.780	451
38.830	444
38.880	431
38.930	422
38.981	415
39.031	401
39.081	401
39.131	399
39.181	394
39.231	402
39.282	407
39.332	414
39.382	424
39.432	425
39.482	446
39.532	459
39.584	465
39.634	479
39.684	484
39.734	492
39.784	494
39.835	485
39.885	490
39.935	483
39.985	470
40.035	467
40.085	449
40.136	439
40.186	428
40.236	408
40.286	406
40.336	398
40.386	388
40.437	388
40.488	393
40.538	397
40.588	401
40.638	405
40.689	425
40.739	437
40.789	448
40.839	463
40.889	469
40.939	488
40.990	496
41.040	491
41.090	502
41.140	499
41.190	493
41.240	486
41.291	469
41.341	463
41.392	448
41.442	433
41.492	420
41.543	407
41.593	394
41.643	389
41.693	383
41.743	384
41.793	385
41.844	387
41.894	403
41.944	414
41.994	425
42.044	443
42.094	451
42.145	473
42.195	486
42.245	487
42.296	503
42.346	505
42.397	506
42.447	503
42.497	485
42.547	487
42.597	472
42.647	450
42.698	442
42.748	428
42.798	410
42.848	399
42.898	384
42.949	383
42.999	380
43.049	377
43.099	385
43.149	393
43.200	404
43.251	418
43.301	425
43.351	450
43.401	464
43.451	472
43.501	491
43.552	497
43.602	508
43.652	508
43.702	493
43.752	502
43.803	494
43.853	476
43.903	467
43.953	450
44.003	435
44.053	419
44.105	400
44.155	394
44.205	384
44.255	376
44.305	380
44.355	383
44.406	389
44.456	399
44.506	403
44.556	425
44.606	441
44.657	451
44.707	470
44.757	482
44.807	495
44.857	502
44.907	496
44.958	507
45.009	503
45.059	491
45.109	487
45.159	471
45.209	459
45.260	443
45.310	420
45.360	413
45.410	401
45.460	389
45.511	385
45.561	385
45.611	383
45.661	389
45.711	390
45.761	406
45.812	419
45.862	429
45.913	447
45.963	459
46.013	475
46.064	487
46.114	484
46.164	499
46.214	504
46.264	500
46.314	495
46.365	485
46.415	477
46.465	463
46.515	443
46.565	434
46.615	422
46.666	405
46.716	400
46.766	395
46.817	390
46.867	389
46.918	385
46.968	397
47.018	406
47.068	414
47.118	429
47.168	439
47.219	456
47.269	468
47.319	469
47.369	488
47.419	493
47.469	493
47.520	495
47.570	482
47.620	485
47.670	475
47.721	457
47.772	453
47.822	441
47.872	425
47.922	419
47.972	411
48.022	402
48.073	397
48.123	391
48.173	398
48.223	402
48.273	408
48.323	417
48.374	423
48.424	438
48.474	450
48.524	454
48.574	471
48.626	478
48.676	482
48.726	487
48.776	477
48.826	484
48.876	480
48.927	465
48.977	465
49.027	453
49.077	440
49.127	435
49.177	416
49.228	418
49.278	411
49.328	401
49.378	404
49.428	404
49.479	407
49.530	414
49.580	412
49.630	428
49.680	438
49.730	440
49.781	457
49.831	463
49.881	470
49.931	476
49.981	468
50.032	479
50.082	476
50.132	468
50.182	467
50.232	459
50.282	451
50.333	445
50.384	428
50.434	429
50.484	424
50.534	414
50.584	416
50.635	415
50.685	416
50.735	418
