#Creator: pendulumdriveEventBuffer
#Creation time: Thu Apr 11 16:06:28 2019
#Time	Pos
#[s]	[au]
0.050	451
0.100	453
0.150	451
0.201	450
0.251	448
0.301	448
0.351	447
0.401	448
0.452	442
0.503	449
0.553	450
0.603	451
0.653	454
0.703	455
0.754	457
0.804	458
0.854	454
0.904	461
0.954	461
1.004	461
1.055	462
1.105	460
1.155	462
1.205	458
1.255	452
1.306	454
1.356	455
1.407	452
1.457	451
1.507	450
1.557	450
1.608	449
1.658	444
1.708	449
1.758	450
1.808	450
1.859	452
1.909	453
1.959	455
2.009	455
2.059	452
2.109	456
2.160	458
2.210	458
2.260	461
2.311	457
2.361	459
2.411	460
2.462	454
2.512	458
2.562	457
2.612	456
2.662	455
2.713	454
2.763	453
2.813	450
2.863	448
2.913	451
2.963	451
3.014	451
3.064	450
3.114	451
3.165	451
3.215	454
3.265	450
3.316	455
3.366	456
3.416	456
3.466	457
3.516	458
3.567	458
3.617	459
3.667	456
3.717	458
3.767	457
3.817	457
3.868	455
3.918	455
3.968	454
4.018	452
4.069	444
4.119	454
4.170	453
4.220	450
4.270	452
4.320	452
4.370	451
4.421	452
4.471	452
4.521	454
4.571	454
4.621	455
4.671	456
4.722	454
4.772	457
4.822	457
4.872	454
4.922	457
4.974	457
5.024	456
5.074	457
5.124	455
5.174	455
5.224	455
5.275	453
5.325	454
5.375	453
5.425	452
5.475	453
5.525	455
5.576	453
5.626	452
5.676	452
5.726	453
5.776	453
5.827	453
5.878	455
5.928	453
5.978	456
6.028	456
6.078	456
6.129	456
6.179	457
6.229	456
6.279	456
6.329	454
6.379	454
6.430	455
6.480	454
6.530	455
6.580	454
6.630	454
6.681	453
6.731	452
6.782	452
6.832	454
6.882	453
6.932	453
6.983	454
7.033	454
7.083	453
7.133	452
7.183	455
7.233	455
7.284	455
7.334	456
7.384	456
7.434	456
7.484	456
7.535	449
7.585	455
7.635	455
7.686	454
7.736	453
7.786	454
7.837	454
7.887	453
7.937	448
7.987	453
8.037	453
8.087	452
8.138	454
8.188	453
8.238	455
8.288	455
8.338	450
8.389	454
8.439	456
8.489	454
8.539	454
8.590	456
8.640	455
8.691	455
8.741	450
8.791	456
8.841	455
8.891	455
8.942	455
8.992	455
9.042	454
9.092	454
9.142	450
9.192	454
9.243	454
9.293	454
9.343	454
9.393	453
9.443	454
9.494	454
9.545	451
9.595	454
9.645	454
9.695	456
9.745	456
9.796	453
9.846	454
