#Creator: pendulumdriveEventBuffer
#Creation time: Thu Apr 11 16:06:28 2019
#Time	Pos
#[s]	[au]
0.050	491
0.100	495
0.152	501
0.202	502
0.252	502
0.302	499
0.352	507
0.402	512
0.453	532
0.503	537
0.553	550
0.603	554
0.653	570
0.704	577
0.754	592
0.804	600
0.854	607
0.904	611
0.954	612
1.006	607
1.056	595
1.106	576
1.156	550
1.206	517
1.257	484
1.307	450
1.357	415
1.407	384
1.457	358
1.507	339
1.558	327
1.608	325
1.658	329
1.708	341
1.758	359
1.808	382
1.859	413
1.910	448
1.960	481
2.010	514
2.060	544
2.111	571
2.161	593
2.211	606
2.261	612
2.311	612
2.361	605
2.412	592
2.462	570
2.512	540
2.562	506
2.612	473
2.662	441
2.713	410
2.763	382
2.814	358
2.864	341
2.914	330
2.965	327
3.015	330
3.065	341
3.115	359
3.165	385
3.215	414
3.266	447
3.316	481
3.366	513
3.416	542
3.466	566
3.516	585
3.567	598
3.617	603
3.667	602
3.718	595
3.768	581
3.819	559
3.869	533
3.919	505
3.969	473
4.019	440
4.069	411
4.120	385
4.170	365
4.220	350
4.270	341
4.320	338
4.370	343
4.421	356
4.471	374
4.521	398
4.571	424
4.622	454
4.673	484
4.723	513
4.773	538
4.823	560
4.873	575
4.923	585
4.974	589
5.024	587
5.074	578
5.124	563
5.174	543
5.225	518
5.275	491
5.325	464
5.375	437
5.425	411
5.475	391
5.527	374
5.577	362
5.627	357
5.677	357
5.727	365
5.777	376
5.828	392
5.878	416
5.928	440
5.978	466
6.028	492
6.079	516
6.129	538
6.179	554
6.229	566
6.279	572
6.329	572
6.380	568
6.431	556
6.481	540
6.531	521
6.581	499
6.631	475
6.682	450
6.732	428
6.782	408
6.832	390
6.882	379
6.933	372
6.983	371
7.033	375
7.083	385
7.133	398
7.183	416
7.234	438
7.284	462
7.335	483
7.385	505
7.435	524
7.485	543
7.536	555
7.586	561
7.636	564
7.686	561
7.736	552
7.787	539
7.837	522
7.887	502
7.937	480
7.987	457
8.037	435
8.088	415
8.138	399
8.188	386
8.239	379
8.289	376
8.340	378
8.390	385
8.440	398
8.490	414
8.540	434
8.590	456
8.641	478
8.691	499
8.741	518
8.791	536
8.841	549
8.891	557
8.942	561
8.992	559
9.042	553
9.092	543
9.143	528
9.194	508
9.244	487
9.294	467
9.344	444
9.394	424
9.444	406
9.495	392
9.545	384
9.595	379
9.645	376
9.695	382
9.745	392
9.796	406
9.846	423
9.896	444
9.946	466
9.996	488
10.048	508
10.098	526
10.148	540
10.198	551
10.248	558
10.298	559
10.349	557
10.399	547
10.449	536
10.499	519
10.549	502
10.599	481
10.650	459
10.700	436
10.750	418
10.800	403
10.850	390
10.901	383
10.952	379
11.002	381
11.052	388
11.102	399
11.152	412
11.203	431
11.253	452
11.303	474
11.353	492
11.403	512
11.453	528
11.504	541
11.554	551
11.604	556
11.654	555
11.704	551
11.755	541
11.806	528
11.856	512
11.906	493
11.956	473
12.006	453
12.057	432
12.107	417
12.157	403
12.207	392
12.257	386
12.308	386
12.358	388
12.408	396
12.458	407
12.508	423
12.558	440
12.609	460
12.659	480
12.710	498
12.760	514
12.810	528
12.860	540
12.911	548
12.961	550
13.011	546
13.061	542
13.111	531
13.162	517
13.212	501
13.262	483
13.312	465
13.362	446
13.412	430
13.463	415
13.513	403
13.563	396
13.614	392
13.664	393
13.714	398
13.765	407
13.815	419
13.865	434
13.915	452
13.965	469
14.016	488
14.066	504
14.116	518
14.166	529
14.216	538
14.266	542
14.317	542
14.367	538
14.417	530
14.467	519
14.518	506
14.569	489
14.619	472
14.669	455
14.719	438
14.769	423
14.819	412
14.870	402
14.920	398
14.970	397
15.020	400
15.070	407
15.120	417
15.171	431
15.221	446
15.271	463
15.321	480
15.371	496
15.423	511
15.473	523
15.523	532
15.573	538
15.623	540
15.673	539
15.724	532
