#Creator: pendulumdriveEventBuffer
#Creation time: Thu Apr 11 16:06:28 2019
#Time	Pos
#[s]	[au]
20.094	530
20.144	529
20.195	524
20.245	514
20.295	502
20.345	491
20.395	473
20.445	460
20.496	444
20.546	431
20.596	419
20.646	410
20.696	404
20.746	402
20.797	403
20.847	408
20.897	415
20.948	427
20.998	439
21.049	453
21.099	469
21.149	484
21.199	497
21.249	509
21.299	520
21.350	526
21.400	528
21.450	528
21.500	524
21.550	517
21.600	507
21.651	495
21.701	480
21.751	467
21.801	451
21.852	437
21.903	426
21.953	415
22.003	409
22.053	403
22.103	404
22.153	406
22.204	412
22.254	422
22.304	435
22.354	448
22.404	463
22.454	477
22.505	491
22.555	504
22.605	514
22.655	522
22.705	526
22.757	527
22.807	526
22.857	519
22.907	511
22.957	499
23.007	488
23.058	471
23.108	458
23.158	445
23.208	431
23.258	421
23.308	412
23.359	407
23.409	405
23.459	406
23.509	411
23.559	420
23.610	429
23.661	443
23.711	456
23.761	471
23.811	485
23.861	498
23.912	508
23.962	517
24.012	523
24.062	525
24.112	525
24.163	521
24.213	514
24.263	504
24.313	492
24.363	479
24.413	465
24.464	451
24.514	437
24.565	426
24.615	417
24.665	411
24.715	406
24.766	407
24.816	411
24.866	417
24.916	425
24.966	438
25.017	451
25.067	464
25.117	478
25.167	493
25.217	503
25.267	512
25.318	520
25.368	524
25.418	524
25.469	521
25.519	516
25.569	506
25.620	497
25.670	483
25.720	469
25.770	456
25.820	443
25.871	431
25.921	423
25.971	415
26.021	410
26.071	409
26.121	411
26.172	416
26.222	423
26.272	434
26.322	446
26.373	459
26.424	472
26.474	485
26.524	497
26.574	507
26.624	515
26.674	520
26.725	521
26.775	520
26.825	515
26.875	510
26.925	500
26.975	488
27.026	475
27.076	463
27.126	450
27.176	438
27.226	427
27.278	419
27.328	414
27.378	412
27.428	413
27.478	414
27.528	423
27.579	430
27.629	441
27.679	453
27.729	465
27.779	480
27.829	492
27.880	502
27.930	511
27.980	517
28.030	520
28.080	520
28.131	517
28.182	512
28.232	503
28.282	492
28.332	481
28.382	468
28.433	455
28.483	443
28.533	432
28.583	424
28.633	418
28.683	413
28.734	411
28.784	416
28.834	420
28.884	428
28.934	438
28.985	449
29.035	462
29.086	473
29.136	486
29.186	498
29.236	506
29.287	512
29.337	518
29.387	518
29.437	517
29.487	513
29.537	505
29.588	496
29.638	485
29.688	473
29.738	460
29.788	449
29.839	437
29.889	428
29.940	421
29.990	416
30.040	414
30.090	415
30.141	419
30.191	425
30.241	434
30.291	444
30.341	457
30.392	469
30.442	481
30.492	492
30.542	502
30.592	510
30.642	514
30.693	517
30.743	517
30.793	514
30.844	509
30.894	499
30.944	489
30.995	479
31.045	465
31.095	454
31.145	443
31.195	432
31.246	425
31.296	417
31.346	417
31.396	416
31.446	419
31.496	423
31.547	431
31.597	441
31.647	451
31.697	464
31.748	476
31.798	487
31.849	497
31.899	506
31.949	511
31.999	515
32.049	515
32.100	514
32.150	509
32.200	502
32.250	493
32.300	483
32.350	473
32.401	460
32.451	448
32.501	437
32.551	430
32.601	423
32.652	418
32.703	417
32.753	418
32.803	423
32.853	428
32.903	437
32.954	449
33.004	459
33.054	470
33.104	481
33.154	492
33.204	500
33.255	508
33.305	512
33.355	514
33.405	514
33.455	510
33.505	504
33.557	496
33.607	486
33.657	475
33.707	464
33.757	453
33.808	443
33.858	433
33.908	426
33.958	422
34.008	419
34.058	420
34.109	423
34.159	428
34.209	434
34.259	443
34.309	455
34.360	466
34.410	477
34.461	487
34.511	495
34.561	505
34.611	509
34.662	512
34.712	513
34.762	509
34.812	505
34.862	497
34.912	490
34.963	479
35.013	469
35.063	459
35.113	448
35.163	437
35.214	431
35.264	425
35.314	422
35.365	420
35.415	423
35.465	427
35.516	433
35.566	442
35.616	451
35.666	462
35.716	472
35.766	483
35.817	492
35.867	500
35.917	506
35.967	509
36.017	511
36.068	510
36.118	506
36.168	499
36.218	492
36.269	482
36.319	473
36.370	464
36.420	452
36.470	444
36.520	434
36.570	428
36.620	425
36.671	421
36.721	422
36.771	427
36.821	432
36.871	440
36.922	447
36.972	457
37.022	468
37.072	479
37.122	488
37.173	496
37.224	503
37.274	507
37.324	509
37.374	509
37.424	507
37.475	502
37.525	495
37.575	486
37.625	476
37.675	467
37.725	456
37.776	447
37.826	440
37.876	432
37.926	427
37.976	425
38.026	424
38.078	426
38.128	430
38.178	436
38.228	445
38.278	452
38.329	464
38.379	473
38.429	483
38.479	491
38.529	498
38.579	505
38.630	506
38.680	508
38.730	507
38.780	503
38.830	497
38.880	490
38.931	481
38.982	471
39.032	461
39.082	452
39.132	443
39.183	435
39.233	430
39.283	426
39.333	425
39.383	425
39.433	429
39.484	434
39.534	442
39.584	450
39.634	460
39.684	469
39.734	478
39.785	487
39.835	495
39.886	500
39.936	504
39.986	507
40.037	506
40.087	503
40.137	498
40.187	491
40.237	484
40.287	475
40.338	464
40.388	455
40.438	447
40.488	439
40.538	433
40.588	430
40.639	427
40.689	427
40.740	430
40.790	434
40.840	440
40.891	448
40.941	456
40.991	465
41.041	474
41.091	484
41.141	491
41.192	497
41.242	502
41.292	505
41.342	505
41.392	502
41.443	499
41.493	493
41.543	485
41.593	478
41.644	469
